judul_berita,url_berita,keyword,page,tanggal_berita,published_at,scraped_at
05:08 VIDEO: Menanti Penyerapan Dana Suntikan Rp.200 Triliun TV • 2 minggu yang lalu,https://www.cnnindonesia.com/tv/20250914132720-404-1273533/video-menanti-penyerapan-dana-suntikan-rp200-triliun,purbaya,3,2025-09-14 13:53:17.000000,2025-09-14 13:53:17+07:00,2025-10-01 08:54:55.277981+07:00
"Bank Himbara Dapat Suntikan Rp200 T, untuk Apa? Ekonomi • 2 minggu yang lalu",https://www.cnnindonesia.com/ekonomi/20250912173110-532-1273102/bank-himbara-dapat-suntikan-rp200-t-untuk-apa,purbaya,3,2025-09-13 08:10:08.000000,2025-09-13 08:10:08+07:00,2025-10-01 08:54:55.376215+07:00
Purbaya Akan Naikkan Jatah Anggaran Daerah Usai PBB Naik Selangit Ekonomi • 2 minggu yang lalu,https://www.cnnindonesia.com/ekonomi/20250911185023-532-1272721/purbaya-akan-naikkan-jatah-anggaran-daerah-usai-pbb-naik-selangit,purbaya,3,2025-09-11 19:22:47.000000,2025-09-11 19:22:47+07:00,2025-10-01 08:54:55.499675+07:00
Apa Efek Jika Purbaya Sebar Dana Pemerintah Rp200 T di BI ke Bank? Ekonomi • 2 minggu yang lalu,https://www.cnnindonesia.com/ekonomi/20250911111354-532-1272488/apa-efek-jika-purbaya-sebar-dana-pemerintah-rp200-t-di-bi-ke-bank,purbaya,3,2025-09-11 12:07:47.000000,2025-09-11 12:07:47+07:00,2025-10-01 08:54:55.618439+07:00
04:19 VIDEO: Rapat Perdana Menkeu Purbaya Dicecar Komisi XI DPR TV • 2 minggu yang lalu,https://www.cnnindonesia.com/tv/20250911092357-400-1272431/video-rapat-perdana-menkeu-purbaya-dicecar-komisi-xi-dpr,purbaya,3,2025-09-11 09:26:30.000000,2025-09-11 09:26:30+07:00,2025-10-01 08:54:55.746134+07:00
"Serapan Anggaran Rendah, Purbaya Minta Bos BGN Jumpa Pers Tiap Bulan Ekonomi • 2 minggu yang lalu",https://www.cnnindonesia.com/ekonomi/20250910180046-532-1272257/serapan-anggaran-rendah-purbaya-minta-bos-bgn-jumpa-pers-tiap-bulan,purbaya,3,2025-09-10 20:20:40.000000,2025-09-10 20:20:40+07:00,2025-10-01 08:54:55.884359+07:00
00:55 VIDEO: Purbaya Tanya Balik DPR soal Warisan Masalah Fiskal dan Moneter Ekonomi • 2 minggu yang lalu,https://www.cnnindonesia.com/ekonomi/20250910175630-536-1272255/video-purbaya-tanya-balik-dpr-soal-warisan-masalah-fiskal-dan-moneter,purbaya,3,2025-09-10 18:16:44.000000,2025-09-10 18:16:44+07:00,2025-10-01 08:54:56.004451+07:00
Purbaya Sebut Rp425 T Mengendap di BI: Makanya Orang Susah Cari Kerja Ekonomi • 2 minggu yang lalu,https://www.cnnindonesia.com/ekonomi/20250910160549-532-1272212/purbaya-sebut-rp425-t-mengendap-di-bi-makanya-orang-susah-cari-kerja,purbaya,3,2025-09-10 17:02:00.000000,2025-09-10 17:02:00+07:00,2025-10-01 08:54:56.127726+07:00
Keluar,https://connect.detik.com/oauth/signout?redirectUrl=https%3A%2F%2Fwww.cnnindonesia.com%2Ftag%2Fsidak-bni,sidak BNI,1,2025-10-01 08:54:57.596582,,2025-10-01 08:54:57.596582+07:00
DAFTAR,https://connect.detik.com/accounts/register?clientId=10027&redirectUrl=https%3A%2F%2Fwww.cnnindonesia.com%2Fauthorize&backURL=https%3A%2F%2Fwww.cnnindonesia.com%2Ftag%2Fsidak-bni&ui=apps&osType=ANDROID,sidak BNI,1,2025-10-01 08:54:57.617990,,2025-10-01 08:54:57.617990+07:00
Keluar,https://connect.detik.com/oauth/signout?redirectUrl=https%3A%2F%2Fwww.cnnindonesia.com%2Ftag%2Fsidak-bni%3Fpage%3D2,sidak BNI,2,2025-10-01 08:55:04.668344,,2025-10-01 08:55:04.668344+07:00
DAFTAR,https://connect.detik.com/accounts/register?clientId=10027&redirectUrl=https%3A%2F%2Fwww.cnnindonesia.com%2Fauthorize&backURL=https%3A%2F%2Fwww.cnnindonesia.com%2Ftag%2Fsidak-bni%3Fpage%3D2&ui=apps&osType=ANDROID,sidak BNI,2,2025-10-01 08:55:04.694340,,2025-10-01 08:55:04.694340+07:00
Bea Cukai Beber Modus Jual Rokok Ilegal: Dipalsukan Jadi Pakaian Dalam Ekonomi • 1 hari yang lalu,https://www.cnnindonesia.com/ekonomi/20250929131723-532-1278848/bea-cukai-beber-modus-jual-rokok-ilegal-dipalsukan-jadi-pakaian-dalam,rokok ilegal,1,2025-09-29 19:30:44.000000,2025-09-29 19:30:44+07:00,2025-10-01 08:55:13.914726+07:00
Luhut Dukung Gaya Koboi Purbaya Pelototi MBG dan Berangus Rokok Ilegal Ekonomi • 5 hari yang lalu,https://www.cnnindonesia.com/ekonomi/20250924205413-532-1277414/luhut-dukung-gaya-koboi-purbaya-pelototi-mbg-dan-berangus-rokok-ilegal,rokok ilegal,1,2025-09-25 09:30:18.000000,2025-09-25 09:30:18+07:00,2025-10-01 08:55:14.028605+07:00
01:36 VIDEO: Menkeu Purbaya Ancam Tindak Penjual Rokok Ilegal di Marketplace TV • 6 hari yang lalu,https://www.cnnindonesia.com/tv/20250924133357-402-1277216/video-menkeu-purbaya-ancam-tindak-penjual-rokok-ilegal-di-marketplace,rokok ilegal,1,2025-09-24 14:14:58.000000,2025-09-24 14:14:58+07:00,2025-10-01 08:55:14.116666+07:00
"Purbaya Komentari Tarif Cukai Rokok: Firaun Lu, Banyak Banget Ekonomi • 1 minggu yang lalu",https://www.cnnindonesia.com/ekonomi/20250919171305-92-1275594/purbaya-komentari-tarif-cukai-rokok-firaun-lu-banyak-banget,rokok ilegal,1,2025-09-19 19:56:08.000000,2025-09-19 19:56:08+07:00,2025-10-01 08:55:14.431082+07:00
"TAIPAN Susilo Wonowidjojo, Raja Sigaret Asal Kediri Berharta Rp179 T Ekonomi • 2 minggu yang lalu",https://www.cnnindonesia.com/ekonomi/20250914044244-92-1273444/susilo-wonowidjojo-raja-sigaret-asal-kediri-berharta-rp179-t,rokok ilegal,1,2025-09-14 16:17:58.000000,2025-09-14 16:17:58+07:00,2025-10-01 08:55:14.553678+07:00
Wagub Jatim Janji Cegah Peredaran Rokok Ilegal Ekonomi • 2 minggu yang lalu,https://www.cnnindonesia.com/ekonomi/20250913201405-92-1273412/wagub-jatim-janji-cegah-peredaran-rokok-ilegal,rokok ilegal,1,2025-09-14 01:42:09.000000,2025-09-14 01:42:09+07:00,2025-10-01 08:55:14.750864+07:00
"Bos Bea Cukai Klaim Cegah Bocor Rp3,9 T dari Rokok hingga HP Ilegal Ekonomi • 2 bulan yang lalu",https://www.cnnindonesia.com/ekonomi/20250714174852-532-1250597/bos-bea-cukai-klaim-cegah-bocor-rp39-t-dari-rokok-hingga-hp-ilegal,rokok ilegal,1,2025-07-16 14:32:54.000000,2025-07-16 14:32:54+07:00,2025-10-01 08:55:14.894535+07:00
01:20 VIDEO: TNI AL Gagalkan Penyelundupan Jutaan Bungkus Rokok Ilegal TV • 2 bulan yang lalu,https://www.cnnindonesia.com/tv/20250701133042-407-1245599/video-tni-al-gagalkan-penyelundupan-jutaan-bungkus-rokok-ilegal,rokok ilegal,1,2025-07-01 15:30:07.000000,2025-07-01 15:30:07+07:00,2025-10-01 08:55:15.003247+07:00
